,NonError,Error,Accuracy
244,111.0,4.0,0.9652173913043478
245,111.0,4.0,0.9652173913043478
246,111.0,4.0,0.9652173913043478
247,111.0,4.0,0.9652173913043478
248,111.0,4.0,0.9652173913043478
249,111.0,4.0,0.9652173913043478
250,111.0,4.0,0.9652173913043478
251,111.0,4.0,0.9652173913043478
252,111.0,4.0,0.9652173913043478
253,111.0,4.0,0.9652173913043478
254,111.0,4.0,0.9652173913043478
255,111.0,4.0,0.9652173913043478
256,111.0,4.0,0.9652173913043478
257,111.0,4.0,0.9652173913043478
258,111.0,4.0,0.9652173913043478
259,111.0,4.0,0.9652173913043478
260,111.0,4.0,0.9652173913043478
261,111.0,4.0,0.9652173913043478
262,111.0,4.0,0.9652173913043478
263,111.0,4.0,0.9652173913043478
264,111.0,4.0,0.9652173913043478
265,111.0,4.0,0.9652173913043478
266,111.0,4.0,0.9652173913043478
267,111.0,4.0,0.9652173913043478
268,111.0,4.0,0.9652173913043478
269,111.0,4.0,0.9652173913043478
270,111.0,4.0,0.9652173913043478
271,111.0,4.0,0.9652173913043478
272,111.0,4.0,0.9652173913043478
273,111.0,4.0,0.9652173913043478
274,111.0,4.0,0.9652173913043478
275,111.0,4.0,0.9652173913043478
276,111.0,4.0,0.9652173913043478
277,111.0,4.0,0.9652173913043478
278,111.0,4.0,0.9652173913043478
279,111.0,4.0,0.9652173913043478
280,111.0,4.0,0.9652173913043478
281,111.0,4.0,0.9652173913043478
282,111.0,4.0,0.9652173913043478
283,111.0,4.0,0.9652173913043478
284,111.0,4.0,0.9652173913043478
285,111.0,4.0,0.9652173913043478
286,111.0,4.0,0.9652173913043478
287,111.0,4.0,0.9652173913043478
288,111.0,4.0,0.9652173913043478
289,111.0,4.0,0.9652173913043478
290,111.0,4.0,0.9652173913043478
291,111.0,4.0,0.9652173913043478
292,111.0,4.0,0.9652173913043478
293,111.0,4.0,0.9652173913043478
294,111.0,4.0,0.9652173913043478
295,111.0,4.0,0.9652173913043478
296,111.0,4.0,0.9652173913043478
297,111.0,4.0,0.9652173913043478
298,111.0,4.0,0.9652173913043478
299,111.0,4.0,0.9652173913043478
300,111.0,4.0,0.9652173913043478
301,111.0,4.0,0.9652173913043478
302,111.0,4.0,0.9652173913043478
303,111.0,4.0,0.9652173913043478
304,111.0,4.0,0.9652173913043478
305,111.0,4.0,0.9652173913043478
